,Unnamed: 0,Longitude,Latitude,Hour,Day,DoW,Month,isDay,Accident,District Name_Ciutat Vella,District Name_Eixample,District Name_Gràcia,District Name_Horta-Guinardó,District Name_Les Corts,District Name_Nou Barris,District Name_Sant Andreu,District Name_Sant Martí,District Name_Sants-Montjuïc,District Name_Sarrià-Sant Gervasi
224,224,2.1371029999999998,41.409426,13,10,1,1,1,1,0,0,0,0,0,0,0,0,0,1
225,225,2.177594,41.373868,14,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0
226,226,2.158465,41.38733,14,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
227,227,2.172707,41.393085,14,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
228,228,2.174027,41.409121999999996,14,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
229,229,2.192754,41.395653,14,10,1,1,1,1,0,0,0,0,0,0,0,1,0,0
230,230,2.129917,41.392509999999994,14,10,1,1,1,1,0,0,0,0,1,0,0,0,0,0
231,231,2.1278650000000003,41.408507,15,10,1,1,1,1,0,0,0,0,0,0,0,0,0,1
232,232,2.132472,41.397653999999996,16,10,1,1,1,1,0,0,0,0,0,0,0,0,0,1
233,233,2.104355,41.385145,16,10,1,1,1,1,0,0,0,0,0,0,0,0,0,1
234,234,2.171745,41.38711,16,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0
235,235,2.1541650000000003,41.376925,17,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
236,236,2.1709169999999998,41.403509,17,10,1,1,1,1,0,0,1,0,0,0,0,0,0,0
237,237,2.151684,41.392459,17,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
238,238,2.161465,41.397016,18,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
239,239,2.2028779999999997,41.408369,18,10,1,1,1,1,0,0,0,0,0,0,0,1,0,0
240,240,2.180391,41.416306,18,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0
241,241,2.158258,41.378826000000004,18,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
242,242,2.197259,41.393964000000004,19,10,1,1,1,1,0,0,0,0,0,0,0,1,0,0
243,243,2.18741,41.44683,21,10,1,1,0,1,0,0,0,0,0,1,0,0,0,0
244,244,2.1483830000000004,41.375432,22,10,1,1,0,1,0,1,0,0,0,0,0,0,0,0
245,245,2.180453,41.41579,7,11,2,1,1,1,0,0,0,0,0,0,0,1,0,0
